Field_Name	Ontology_Preferred_Term	Ontology	Ontology_Term_ID	Term_Ontology_URL	Dataframe	Variable
Genes	gene	efo	EFO_0002606	<http://www.ebi.ac.uk/efo/EFO_0002606>	Biomaterial	genes
Passages	generation	efo	EFO_0000507	<http://www.ebi.ac.uk/efo/EFO_0000507>	Biomaterial	passages
Additional Biomarkers		isa	biomarkers	<http://isa.test.org/biomarkers>	Biomaterial	biomarkers
Disease State	disease	obo	OBI_1110055	<http://purl.obolibrary.org/obo/OBI_1110055>	Biomaterial	disease_state
Treatment Type	treatment	efo	EFO_0000727	http://www.ebi.ac.uk/efo/EFO_0000727	Biomaterial	treatment_type
Treatment Compound	molecular entity	obo	CHEBI_23367	<http://purl.obolibrary.org/obo/CHEBI_23367>	Biomaterial	treatment_compound
Time Point	sampling time	efo	EFO_0000689	<http://www.ebi.ac.uk/efo/EFO_0000689>	Biomaterial	time_point
Notes	biomaterial_notes	isa	biomaterial_notes	<http://isa.test.org/biomaterial_notes>	Biomaterial	biomaterial_notes
Positive Markers	positive_markers	isa	positive_markers	<http://isa.test.org/positive_markers>	Biomaterial	positive_markers
Negative Markers	negative_markers	isa	negative_markers	<http://isa.test.org/negative_markers>	Biomaterial	negative_markers
Race	race	ncit	C17049	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049>	Biomaterial	race
Ethnicity	ethnic group	ncit	C16564	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16564>	Biomaterial	ethnicity
Vector	vector	ncit	C1329	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1329>	Biomaterial	vector
Karyotype	karyotype	ncit	C25215	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25215>	Biomaterial	karyotype
Cell Line of Origin	cell line of origin	isa	cell_line_of_origin	<http://isa.test.org/cell_line_of_origin>	Biomaterial	cell_line_of_origin
Cell Type of Origin	cell type of origin	isa	cell_type_of_origin	<http://isa.test.org/cell_type_of_origin>	Biomaterial	cell_type_of_origin
Lab of Origin	laboratory of origin	isa	laboratory_of_origin	<http://isa.test.org/laboratory_of_origin>	Biomaterial	lab_of_origin
Culture Conditions	growth environment	obo	OBI_0000997	<http://purl.obolibrary.org/obo/OBI_0000997>	Biomaterial	culture_conditions
item	item	other	item	<http://rdfs.org/sioc/ns#Item>	Extra	item
document	document	other	document	<http://xmlns.com/foaf/0.1/Document>	Extra	document
comments	comments	other	comments	<http://www.w3.org/2001/XMLSchema#integer>	Extra	comments
creator	creator	other	creator	<http://exframe-dev.sciencecollaboration.org/user/1>	Extra	creator
created	created	other	created	<http://purl.org/dc/terms/created>	Extra	created
modified	modified	other	modified	<http://purl.org/dc/terms/modified>	Extra	modified
comments	comments	other	comments	<http://rdfs.org/sioc/ns#num_replies>	Extra	comments
					Profile	contact_uid
name	name	other		<http://xmlns.com/foaf/0.1/name>	Profile	username
givenName	givenName	other		<http://schema.org/givenName>	Profile	givenName
additionalName	additionalName	other		<http://schema.org/additionalName>	Profile	additionalName
familyName	familyName	other		<http://schema.org/familyName>	Profile	familyName
affiliation	affiliation	other		<http://schema.org/affiliation>	Profile	affiliation
department	department	other		<http://isa.test.org/department>	Profile	department
telephone	telephone	other		<http://schema.org/telephone>	Profile	telephone
addressCountry	addressCountry	other		<http://schema.org/addressCountry>	Profile	addressCountry
addressRegion	addressRegion	other		<http://schema.org/addressRegion>	Profile	addressRegion
addressLocality	addressLocality	other		<http://schema.org/addressLocality>	Profile	addressLocality
postalCode	postalCode	other		<http://schema.org/postalCode>	Profile	postalCode
streetAddress	streetAddress	other		<http://schema.org/streetAddress>	Profile	streetAddress
lab	lab	other		<http://isa.test.org/lab>	Profile	lab
